day,last_updated,date,rf_low,rf_median,rf_high,rf_p90,rf_p60,rf_p50,rf_p20,rf_pdcp20,rf_pdcp60,rf_pdcp90,rf_direction,current_close,knn_low,knn_median,knn_high,knn_direction,knn_p20,knn_p60,knn_p90,knn_p50,knn_pdcp20,knn_pdcp60,knn_pdcp90,analog_price,spearman_low,spearman_median,spearman_high,spearman_p20,spearman_p60,spearman_p90,spearman_p50,spearman_pdcp20,spearman_pdcp60,spearman_pdcp90,pearson_low,pearson_median,pearson_high,pearson_p20,pearson_p60,pearson_p90,pearson_p50,pearson_pdcp20,pearson_pdcp60,pearson_pdcp90,cosine_low,cosine_median,cosine_high,cosine_p20,cosine_p60,cosine_p90,cosine_p50,cosine_pdcp20,cosine_pdcp60,cosine_pdcp90,euclidean_low,euclidean_median,euclidean_high,euclidean_p20,euclidean_p60,euclidean_p90,euclidean_p50,euclidean_pdcp20,euclidean_pdcp60,euclidean_pdcp90,mse_low,mse_median,mse_high,mse_p20,mse_p60,mse_p90,mse_p50,mse_pdcp20,mse_pdcp60,mse_pdcp90,kendall_low,kendall_median,kendall_high,kendall_p20,kendall_p60,kendall_p90,kendall_p50,kendall_pdcp20,kendall_pdcp60,kendall_pdcp90,manhattan_low,manhattan_median,manhattan_high,manhattan_p20,manhattan_p60,manhattan_p90,manhattan_p50,manhattan_pdcp20,manhattan_pdcp60,manhattan_pdcp90,mahalanobis_low,mahalanobis_median,mahalanobis_high,mahalanobis_p20,mahalanobis_p60,mahalanobis_p90,mahalanobis_p50,mahalanobis_pdcp20,mahalanobis_pdcp60,mahalanobis_pdcp90,knn_method,analog_direction,spearman_direction,pearson_direction,cosine_direction,euclidean_direction,mse_direction,kendall_direction,manhattan_direction,mahalanobis_direction,xgb_low,xgb_median,xgb_high,xgb_direction,xgb_p90,xgb_p60,xgb_p50,xgb_p20,xgb_pdcp20,xgb_pdcp60,xgb_pdcp90,lgb_low,lgb_median,lgb_high,lgb_direction,lgb_p90,lgb_p60,lgb_p50,lgb_p20,lgb_pdcp20,lgb_pdcp60,lgb_pdcp90,knn2_low,knn2_median,knn2_high,knn2_p20,knn2_p60,knn2_p90,knn2_p50,knn2_pdcp20,knn2_pdcp60,knn2_pdcp90,knn2_direction,knn2_vote_pct,knn2_regime,knn2_n_neighbors
6,2026-05-29,2026-06-08,894.26,972.26,1037.89,894.26,956.78,972.26,1037.89,1037.89,,,UP,971.0,,,,,,,,,,,,953.97,771.39,909.64,1091.33,955.15,899.83,771.39,909.64,,,,800.64,911.11,1096.6,1053.03,902.95,800.64,911.11,1053.03,,,847.39,917.77,1076.93,1026.61,906.87,847.39,917.77,1026.61,,,866.03,945.59,1087.03,1030.78,938.67,866.03,945.59,1030.78,,,,,,,,,,,,,844.87,927.52,950.17,938.5,922.07,844.87,927.52,,,,832.54,942.85,1014.09,998.88,916.14,832.54,942.85,998.88,,,,,,,,,,,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,,DOWN,DOWN,,944.88,1034.78,1047.28,UP,944.88,988.36,1034.78,1047.28,1047.28,988.36,,889.15,972.83,1030.88,UP,889.15,962.84,972.83,1030.88,1030.88,,,1033.61,1039.66,1041.05,1033.61,1039.66,1041.05,1039.16,1033.61,1039.66,1041.05,DOWN,62.7,HIGH_VOL/UPTREND,20.0
7,2026-05-29,2026-06-09,912.6,997.76,1055.47,912.6,981.93,997.76,1055.47,1055.47,981.93,,UP,971.0,,,,,,,,,,,,945.45,763.33,909.76,1135.22,1044.55,887.83,763.33,909.76,1044.55,,,796.2,931.64,1075.92,1064.27,898.19,796.2,931.64,1064.27,,,835.33,925.82,1068.1,1029.25,896.75,835.33,925.82,1029.25,,,866.33,966.63,1071.43,1016.5,938.61,866.33,966.63,1016.5,,,,,,,,,,,,,828.21,928.16,997.09,979.7,926.98,828.21,928.16,979.7,,,809.91,942.19,1039.67,1009.02,931.53,809.91,942.19,1009.02,,,,,,,,,,,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,,DOWN,DOWN,,954.72,1048.12,1060.44,UP,954.72,1002.78,1048.12,1060.44,1060.44,1002.78,,909.76,1001.85,1056.41,UP,909.76,988.52,1001.85,1056.41,1056.41,988.52,,993.92,1005.48,1024.57,993.92,1005.48,1024.57,1002.59,993.92,1005.48,1024.57,DOWN,62.7,HIGH_VOL/UPTREND,20.0
8,2026-05-29,2026-06-10,930.94,1023.26,1073.05,930.94,1007.07,1023.26,1073.05,1073.05,1007.07,,UP,971.0,,,,,,,,,,,,911.38,736.79,883.09,1114.96,996.89,867.91,736.79,883.09,996.89,,,728.7,905.39,1100.87,1073.43,881.0,728.7,905.39,1073.43,,,840.89,911.67,1076.93,1023.96,873.86,840.89,911.67,1023.96,,,837.8,957.68,1051.98,1033.02,927.37,837.8,957.68,1033.02,,,,,,,,,,,,,814.17,942.44,1036.98,1001.51,913.56,814.17,942.44,1001.51,,,773.16,941.24,1052.26,1027.38,905.21,773.16,941.24,1027.38,,,,,,,,,,,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,,DOWN,DOWN,,964.56,1061.46,1073.61,UP,964.56,1017.19,1061.46,1073.61,1073.61,1017.19,,930.37,1030.86,1081.93,UP,930.37,1014.2,1030.86,1081.93,1081.93,1014.2,,1000.82,1001.39,1023.8,1000.82,1001.39,1023.8,1001.25,1000.82,1001.39,1023.8,DOWN,62.7,HIGH_VOL/UPTREND,20.0
9,2026-05-29,2026-06-11,949.28,1048.76,1090.62,949.28,1032.22,1048.76,1090.62,1090.62,1032.22,,UP,971.0,,,,,,,,,,,,911.38,742.11,877.93,1115.12,967.92,848.37,742.11,877.93,,,,741.62,892.27,1125.69,1094.75,855.02,741.62,892.27,1094.75,,,803.99,907.31,1097.52,1041.62,866.93,803.99,907.31,1041.62,,,824.31,958.73,1109.78,1036.22,937.28,824.31,958.73,1036.22,,,,,,,,,,,,,822.52,956.72,1009.37,975.27,933.12,822.52,956.72,975.27,,,827.12,947.17,1088.82,1050.53,901.39,827.12,947.17,1050.53,,,,,,,,,,,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,,DOWN,DOWN,,974.4,1074.81,1086.77,UP,974.4,1031.6,1074.81,1086.77,1086.77,1031.6,974.4,950.99,1059.88,1107.46,UP,950.99,1039.89,1059.88,1107.46,1107.46,1039.89,,984.14,997.77,1078.25,984.14,997.77,1078.25,994.36,984.14,997.77,1078.25,DOWN,62.7,HIGH_VOL/UPTREND,20.0
10,2026-05-29,2026-06-12,967.62,1074.25,1108.2,967.62,1057.37,1074.25,1108.2,1108.2,1057.37,,UP,971.0,,,,,,,,,,,,877.31,682.86,874.34,1124.61,1031.77,838.35,682.86,874.34,1031.77,,,704.58,879.15,1103.19,1041.62,863.91,704.58,879.15,1041.62,,,777.14,877.76,1038.68,998.38,849.62,777.14,877.76,998.38,,,798.47,943.26,1068.37,1059.43,907.47,798.47,943.26,1059.43,,,,,,,,,,,,,874.87,999.56,1061.01,1035.07,966.15,874.87,999.56,1035.07,,,790.7,928.55,1066.22,1043.52,875.96,790.7,928.55,1043.52,,,,,,,,,,,,,spearman,DOWN,DOWN,DOWN,DOWN,DOWN,,UP,DOWN,,984.24,1088.15,1099.94,UP,984.24,1046.01,1088.15,1099.94,1099.94,1046.01,984.24,971.6,1088.9,1132.98,UP,971.6,1065.57,1088.9,1132.98,1132.98,1065.57,971.6,910.99,920.0,1053.26,910.99,920.0,1053.26,917.75,685.94,703.54,1053.26,DOWN,62.7,HIGH_VOL/UPTREND,20.0
1,2026-06-13,2026-06-15,944.26,995.9,1033.59,944.26,985.29,995.9,1033.59,1033.59,985.29,,UP,981.61,,,,,,,,,,,,997.13,939.82,986.83,1030.5,1003.74,970.61,939.82,986.83,1003.74,,,934.32,969.32,1036.69,1006.68,968.39,934.32,969.32,1006.68,,,912.19,970.33,1014.91,1006.68,969.6,912.19,970.33,1006.68,,,946.79,970.33,1027.21,1012.4,967.79,946.79,970.33,1012.4,,,,,,,,,,,,,981.61,992.05,1012.58,1003.22,987.88,981.61,992.05,1003.22,987.88,,950.89,976.25,1002.55,999.51,969.41,950.89,976.25,999.51,,,,,,,,,,,,,pearson,UP,UP,DOWN,DOWN,DOWN,,UP,DOWN,,978.27,1127.17,1140.54,UP,978.27,1085.09,1127.17,1140.54,1140.54,1085.09,978.27,975.75,1102.01,1141.95,UP,975.75,1062.21,1102.01,1141.95,1141.95,1062.21,975.75,949.07,951.87,953.97,949.07,951.87,953.97,951.17,767.57,772.93,1057.81,UP,100.0,HIGH_VOL/UPTREND,20.0
2,2026-06-13,2026-06-16,943.44,1012.63,1074.61,943.44,997.13,1012.63,1074.61,1074.61,997.13,,UP,981.61,,,,,,,,,,,,1061.62,912.38,984.29,1090.4,1056.34,956.9,912.38,984.29,1056.34,,,903.16,955.45,1056.26,1040.29,950.16,903.16,955.45,1040.29,,,912.19,996.12,1056.26,1033.83,978.25,912.19,996.12,1033.83,,,936.36,981.61,1039.69,1027.83,969.23,936.36,981.61,1027.83,,,,,,,,,,,,,944.89,1002.5,1027.66,1019.92,987.37,944.89,1002.5,1019.92,987.37,,911.29,989.35,1051.66,1039.4,976.99,911.29,989.35,1039.4,,,,,,,,,,,,,pearson,UP,UP,DOWN,UP,DOWN,,UP,UP,,972.29,1166.2,1181.15,UP,972.29,1124.16,1166.2,1181.15,1181.15,1124.16,972.29,979.9,1115.11,1150.93,UP,979.9,1058.86,1115.11,1150.93,1150.93,1058.86,979.9,1017.6,1032.14,1043.04,1017.6,1032.14,1043.04,1028.51,1017.6,1032.14,1043.04,UP,100.0,HIGH_VOL/UPTREND,20.0
3,2026-06-13,2026-06-17,942.63,1029.37,1115.63,942.63,1008.96,1029.37,1115.63,1115.63,1008.96,,UP,981.61,,,,,,,,,,,,1037.74,891.92,986.83,1099.86,1071.69,949.9,891.92,986.83,1071.69,,,901.77,962.36,1074.4,1053.64,953.4,901.77,962.36,1053.64,,,897.25,1005.26,1061.68,1053.64,966.31,897.25,1005.26,1053.64,,,911.6,986.83,1054.96,1037.01,981.61,911.6,986.83,1037.01,,,,,,,,,,,,,972.4,1016.05,1064.57,1043.11,1013.03,972.4,1016.05,1043.11,1013.03,,897.98,976.55,1050.64,1032.37,953.23,897.98,976.55,1032.37,,,,,,,,,,,,,pearson,UP,UP,DOWN,UP,UP,,UP,DOWN,,966.31,1205.22,1221.76,UP,966.31,1163.23,1205.22,1221.76,1221.76,1163.23,,984.05,1128.22,1159.9,UP,984.05,1055.5,1128.22,1159.9,1159.9,1055.5,984.05,1038.68,1047.98,1054.95,1038.68,1047.98,1054.95,1045.66,1038.68,1047.98,1054.95,UP,100.0,HIGH_VOL/UPTREND,20.0
4,2026-06-13,2026-06-18,941.82,1046.11,1156.64,941.82,1020.79,1046.11,1156.64,1156.64,1020.79,,UP,981.61,,,,,,,,,,,,1023.41,891.31,1012.27,1097.82,1073.19,994.14,891.31,1012.27,1073.19,994.14,,893.49,994.53,1105.67,1075.52,979.81,893.49,994.53,1075.52,,,893.49,1020.81,1073.77,1070.76,996.17,893.49,1020.81,1070.76,996.17,,894.05,981.61,1057.25,1030.66,970.08,894.05,981.61,1030.66,,,,,,,,,,,,,1005.13,1033.27,1113.24,1088.24,1026.15,1005.13,1033.27,1088.24,1026.15,1005.13,876.34,981.61,1069.18,1059.67,964.53,876.34,981.61,1059.67,,,,,,,,,,,,,pearson,UP,UP,UP,UP,DOWN,,UP,DOWN,,960.34,1244.25,1262.37,UP,960.34,1202.3,1244.25,1262.37,1262.37,1202.3,,988.2,1141.32,1168.87,UP,988.2,1052.15,1141.32,1168.87,1168.87,1052.15,988.2,1042.82,1047.65,1051.27,1042.82,1047.65,1051.27,1046.44,1042.82,1047.65,1051.27,UP,100.0,HIGH_VOL/UPTREND,20.0
5,2026-06-13,2026-06-19,941.0,1062.84,1197.66,941.0,1032.63,1062.84,1197.66,1197.66,1032.63,,UP,981.61,,,,,,,,,,,,1021.02,875.64,1011.45,1143.83,1072.3,986.17,875.64,1011.45,1072.3,986.17,,901.66,996.87,1075.79,1064.96,964.3,901.66,996.87,1064.96,,,891.26,1001.48,1062.03,1047.35,980.66,891.26,1001.48,1047.35,,,911.6,978.91,1087.37,1024.11,973.51,911.6,978.91,1024.11,,,,,,,,,,,,,983.19,998.83,1144.57,1098.68,998.6,983.19,998.83,1098.68,998.6,983.19,837.9,993.89,1087.03,1064.33,962.74,837.9,993.89,1064.33,,,,,,,,,,,,,pearson,UP,UP,UP,UP,DOWN,,UP,UP,,954.36,1283.27,1302.98,UP,954.36,1241.38,1283.27,1302.98,1302.98,1241.38,,992.35,1154.43,1177.84,UP,992.35,1048.79,1154.43,1177.84,1177.84,1048.79,992.35,1001.62,1011.24,1018.47,1001.62,1011.24,1018.47,1008.84,1001.62,1011.24,1018.47,UP,100.0,HIGH_VOL/UPTREND,20.0
6,2026-06-13,2026-06-22,937.51,1070.6,1202.05,937.51,1037.95,1070.6,1202.05,1202.05,1037.95,,UP,981.61,,,,,,,,,,,,1042.51,852.85,992.89,1150.54,1089.93,970.68,852.85,992.89,1089.93,,,877.48,986.97,1080.69,1070.05,970.36,877.48,986.97,1070.05,,,850.3,992.89,1071.56,1057.21,987.43,850.3,992.89,1057.21,987.43,,898.68,981.54,1136.45,1059.2,963.13,898.68,981.54,1059.2,,,,,,,,,,,,,967.89,998.25,1115.91,1062.23,988.21,967.89,998.25,1062.23,988.21,,812.15,986.97,1108.78,1071.82,962.54,812.15,986.97,1071.82,,,,,,,,,,,,,pearson,UP,UP,UP,UP,DOWN,,UP,UP,,948.38,1322.29,1343.59,UP,948.38,1280.45,1322.29,1343.59,1343.59,1280.45,,996.5,1167.53,1186.82,UP,996.5,1045.44,1167.53,1186.82,1186.82,1045.44,996.5,1073.65,1075.35,1076.62,1073.65,1075.35,1076.62,1074.92,1073.65,1075.35,1076.62,UP,100.0,HIGH_VOL/UPTREND,20.0
7,2026-06-13,2026-06-23,934.01,1078.35,1206.44,934.01,1043.27,1078.35,1206.44,1206.44,1043.27,,UP,981.61,,,,,,,,,,,,1044.9,880.26,1043.19,1168.14,1121.35,979.16,880.26,1043.19,1121.35,,,934.25,988.07,1069.46,1060.03,965.27,934.25,988.07,1060.03,,,873.89,1044.86,1066.55,1059.63,1021.41,873.89,1044.86,1059.63,1021.41,,909.98,958.74,1171.92,1071.57,941.76,909.98,958.74,1071.57,,,,,,,,,,,,,960.94,998.53,1129.32,1057.74,991.76,960.94,998.53,1057.74,991.76,,757.36,958.74,1148.31,1076.62,949.27,757.36,958.74,1076.62,,,,,,,,,,,,,pearson,UP,UP,UP,UP,DOWN,,UP,DOWN,,942.4,1361.32,1384.2,UP,942.4,1319.52,1361.32,1384.2,1384.2,1319.52,,1000.65,1180.64,1195.79,UP,1000.65,1042.08,1180.64,1195.79,1195.79,1042.08,1000.65,1060.95,1064.2,1066.63,1060.95,1064.2,1066.63,1063.38,1060.95,1064.2,1066.63,UP,100.0,HIGH_VOL/UPTREND,20.0
